Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor metro quadarado bruto;Tipo Agregado
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;35.383141762452105;Apartamento
Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;187.32413793103447;Apartamento
Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0;23.77358490566038;Apartamento
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;42.14457831325301;Apartamento
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;70.8125;Apartamento
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;59.69387755102041;Apartamento
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;68.80597014925372;Apartamento
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;55.12272727272728;Apartamento
Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;47.66233766233766;Apartamento
Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;33.21818181818182;Apartamento
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;69.54117647058824;Apartamento
Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0;50.73333333333333;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;24.711111111111112;Apartamento
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0;15.625;Apartamento
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;35.37837837837838;Apartamento
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;51.333333333333336;Apartamento
Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;54.40944881889764;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;33.189189189189186;Apartamento
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;36.78125;Apartamento
Apartamento;Gávea;3;1;1;160;8000.0;2000.0;0.0;62.5;Apartamento
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;42.1;Apartamento
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;39.172413793103445;Apartamento
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;70.2;Apartamento
Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;28.125;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;28.69333333333333;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;30.75;Apartamento
Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;63.013888888888886;Apartamento
Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;21.4;Apartamento
Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;39.8421052631579;Apartamento
Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;25.642857142857142;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;26.112676056338028;Apartamento
Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;47.43809523809524;Apartamento
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;27.011494252873565;Apartamento
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;57.71428571428572;Apartamento
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;42.4;Apartamento
Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;38.70967741935484;Apartamento
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;22.692307692307693;Apartamento
